region,p6_05,p6_06,p6_07,p6_08,p6_01,P6
Вінницька,0.5204570978695447,0.499290780141844,0.5729028157775063,0.4202586206896552,0.8635312924335935,3.196045118791271
Волинська,0.5932178350529813,0.6433962264150943,0.33343197433903266,0.16119402985074627,0.8466361664863501,2.8643069246046715
Дніпропетровська,0.5938529434721657,0.8472906403940886,0.03709310089239497,0.2890510948905109,0.806034191670017,2.859246634799086
Донецька,0.5161552431035915,0.7841140529531568,0.07984423298639255,0.4329113924050633,0.336413403933104,2.3882648059792317
Житомирська,0.5190701424429803,0.5354058721934369,0.6516043824662289,0.3634146341463415,0.839417778271886,3.232125343912082
Закарпатська,0.7026143973416057,0.8137254901960784,0.11842208328919045,0.1292517006802721,0.8146266484068991,2.865155911015606
Запорізька,0.575385075645227,0.7227722772277227,0.1535487462581779,0.3836633663366337,0.8004163860943924,2.9286509461801713
Івано-Франківська,0.6693995497077279,0.7229965156794425,0.27588328534728623,0.12462006079027355,0.8263428921895104,2.910269226349156
Київська,0.6010852854345088,0.6848000000000001,0.07076188115254069,0.3572938689217759,0.87601598085797,2.8777300181853285
Кіровоградська,0.5078328386892121,0.7293729372937294,0.12785683276414317,0.3694779116465863,0.7679280844562522,2.7805206720554705
Луганська,0.4861864175191989,0.5256916996047432,0.7269689534892136,0.4782608695652174,0.23008117080289645,2.7190990122014105
Львівська,0.5779716799645847,0.6323529411764706,0.3590012501983148,0.1426086956521739,0.8516553186926464,2.848433206315767
Миколаївська,0.552603894505337,0.647982062780269,0.6013569673248909,0.4842406876790831,0.7568909969572222,3.3811940102742244
Одеська,0.6625017567520592,0.7640287769784173,0.20803582443650667,0.33271375464684017,0.7185769942263698,2.9842856744891035
Полтавська,0.513543921229106,0.544954128440367,0.6296554458206123,0.4987212276214834,0.8345715972918412,3.357162578226011
Рівненська,0.6844144756308231,0.7338262476894639,0.331839257446697,0.19346049046321528,0.836870327014576,3.089345331383084
Сумська,0.5031198713269068,0.5207253886010363,0.9358438188154312,0.4709677419354839,0.8396597251958862,3.6336850509719385
Тернопільська,0.5127003428759094,0.5008605851979346,1.0,0.2195121951219512,0.8245539757137498,3.3973634432328277
Харківська,0.5224629800732752,0.7111756168359942,0.42611562371303663,0.3781512605042017,0.8019578247982347,3.1554036732497144
Херсонська,0.6413386224715774,0.76775956284153,0.13247495045805013,0.4085365853658536,0.792540715246359,3.0473893737593
Хмельницька,0.5086718564236206,0.5060869565217391,0.6423312449165707,0.3819628647214854,0.8482669183679662,3.2081331566126465
Черкаська,0.5225641511744086,0.6032719836400817,0.6171674963518375,0.4402035623409669,0.819352206627664,3.336177111261065
Чернівецька,0.7345023449010607,0.8204419889502763,0.0,0.16538461538461538,0.808749194927488,2.8100868268482673
Чернігівська,0.5275669962504834,0.4368070953436807,0.9767263961477591,0.4792899408284024,0.8288837002648627,3.610304587594654
м.Київ,,,,,,
